Book_id,Student_id,Status,Fine_amount,Borrow_date,Return_date
3255,394881858,returned,0,2024-01-01,2024-01-10
3204,373091420,returned,0,2024-01-01,2024-01-03
3259,340981380,returned,3,2024-01-01,2024-01-03
3127,382458339,returned,21,2024-01-01,2024-01-16
3690,334026598,returned,0,2024-01-01,2024-01-02
3584,349397794,returned,0,2024-01-01,2024-01-03
3529,333321206,returned,15,2024-01-01,2024-01-27
3562,274449107,damaged,50,2024-01-01,2024-01-13
3295,378920151,returned,6,2024-01-01,2024-01-10
3138,324171727,returned,0,2024-01-01,2024-01-04
3565,321056228,returned,15,2024-01-01,2024-01-21
3539,213346893,returned,0,2024-01-01,2024-01-09
3419,299195420,returned,0,2024-01-01,2024-01-02
3702,346599400,returned,6,2024-01-01,2024-01-13
3463,326809365,returned,12,2024-01-01,2024-01-16
3611,374669000,returned,9,2024-01-01,2024-01-15
3692,318533700,returned,0,2024-01-01,2024-01-11
3610,395417207,returned,24,2024-01-01,2024-01-23
3080,395417207,returned,0,2024-01-01,2024-01-01
3564,261370670,returned,9,2024-01-01,2024-01-08
3157,200118065,returned,15,2024-01-01,2024-01-07
3612,368068649,returned,3,2024-01-01,2024-01-29
3127,339545956,returned,27,2024-01-01,2024-01-25
3036,360672489,returned,0,2024-01-01,2024-01-08
3589,339885840,returned,0,2024-01-01,2024-01-18
3185,248527293,returned,0,2024-01-01,2024-01-12
3331,323513663,returned,0,2024-01-01,2024-01-06
3443,360091607,returned,18,2024-01-01,2024-01-29
3685,392546826,returned,24,2024-01-01,2024-01-27
3328,265241398,returned,12,2024-01-01,2024-01-10
3725,362878464,returned,0,2024-01-01,2024-01-05
3446,375646031,returned,0,2024-01-01,2024-01-21
3549,297441370,returned,0,2024-01-01,2024-01-01
3563,302127543,returned,0,2024-01-01,2024-01-04
3582,212559744,returned,0,2024-01-01,2024-01-14
3423,353172430,returned,0,2024-01-01,2024-01-10
3556,391802006,returned,0,2024-01-01,2024-01-29
3100,272004862,returned,3,2024-01-01,2024-01-04
3042,304825391,returned,0,2024-01-01,2024-01-02
3249,353883358,returned,0,2024-01-01,2024-01-02
3629,224191387,returned,0,2024-01-01,2024-01-01
3456,259717858,returned,0,2024-01-01,2024-01-05
3448,212566509,returned,15,2024-01-01,2024-01-14
3718,310076328,returned,24,2024-01-01,2024-02-02
3709,271554552,returned,0,2024-01-01,2024-01-11
3262,257498071,lost,100,2024-01-01,2024-01-09
3241,308932649,returned,6,2024-01-01,2024-01-25
3547,225899699,returned,0,2024-01-01,2024-01-06
3117,305780694,returned,0,2024-01-01,2024-01-22
3678,247222821,returned,24,2024-01-01,2024-01-17
3119,236698577,returned,21,2024-01-01,2024-01-09
3021,216522672,returned,0,2024-01-01,2024-01-03
3641,244283545,returned,0,2024-01-01,2024-01-06
3321,298227935,returned,0,2024-01-01,2024-01-02
3666,262069768,returned,24,2024-01-01,2024-02-07
3235,326318805,returned,18,2024-01-01,2024-01-21
3237,223411497,returned,12,2024-01-01,2024-01-10
3385,210811311,returned,3,2024-01-01,2024-01-14
3441,386696603,returned,0,2024-01-01,2024-01-07
3394,231267840,returned,27,2024-01-01,2024-01-15
3175,251509709,returned,6,2024-01-01,2024-01-28
3080,234616134,returned,9,2024-01-01,2024-02-03
3112,234616134,returned,0,2024-01-01,2024-01-09
3373,327857058,returned,9,2024-01-01,2024-01-18
3299,311880892,returned,0,2024-01-01,2024-01-10
3260,356683870,returned,0,2024-01-01,2024-01-08
3708,280375866,returned,24,2024-01-01,2024-01-13
3379,296229834,returned,0,2024-01-01,2024-01-02
3520,392666491,returned,24,2024-01-01,2024-01-19
3404,265861575,returned,9,2024-01-01,2024-01-27
3721,220679781,returned,3,2024-01-01,2024-02-01
3011,271235988,returned,12,2024-01-01,2024-01-11
3589,212369904,returned,21,2024-01-01,2024-01-09
3166,223281924,returned,0,2024-01-01,2024-01-08
3388,232499350,returned,6,2024-01-01,2024-01-11
3228,292340171,returned,0,2024-01-01,2024-01-20
3233,265267419,returned,6,2024-01-01,2024-01-12
3187,306474271,returned,0,2024-01-01,2024-01-11
3144,338801806,returned,30,2024-01-01,2024-02-10
3123,302859202,returned,0,2024-01-01,2024-01-13
3300,254982630,returned,0,2024-01-01,2024-01-14
3555,228364089,returned,21,2024-01-01,2024-01-21
3104,322932989,returned,0,2024-01-01,2024-01-14
3630,282711274,returned,0,2024-01-01,2024-01-10
3192,305794620,returned,0,2024-01-01,2024-01-16
3701,381971365,returned,3,2024-01-01,2024-01-16
3431,341826618,returned,0,2024-01-01,2024-01-28
3053,266152156,returned,0,2024-01-01,2024-01-19
3173,313436628,returned,0,2024-01-01,2024-01-16
3598,280246281,returned,0,2024-01-01,2024-01-05
3173,397854209,returned,12,2024-01-01,2024-01-13
3550,204406961,damaged,53,2024-01-01,2024-01-07
3600,339194276,returned,0,2024-01-01,2024-01-12
3322,267700664,returned,0,2024-01-01,2024-01-12
3448,227332558,returned,0,2024-01-01,2024-01-07
3528,377169859,returned,0,2024-01-01,2024-01-09
3475,363899311,returned,0,2024-01-01,2024-01-04
3365,297548695,returned,6,2024-01-01,2024-01-20
3091,337016414,returned,0,2024-01-01,2024-01-01
3519,205664766,returned,0,2024-01-01,2024-01-08
3664,314543968,returned,0,2024-01-01,2024-01-15
3551,245036629,returned,9,2024-01-01,2024-01-15
3639,376525234,returned,0,2024-01-01,2024-01-02
3304,397324815,returned,0,2024-01-01,2024-01-23
3486,201056942,returned,0,2024-01-01,2024-01-11
3720,388118960,returned,0,2024-01-01,2024-01-17
3503,369423611,returned,12,2024-01-01,2024-01-15
3436,260467212,returned,0,2024-01-01,2024-01-19
3383,302349618,returned,0,2024-01-01,2024-01-12
3118,344578471,returned,9,2024-01-01,2024-01-23
3094,395686751,returned,3,2024-01-01,2024-01-04
3301,215122656,returned,27,2024-01-01,2024-01-22
3592,390670719,returned,9,2024-01-01,2024-01-05
3214,399352848,returned,0,2024-01-01,2024-01-01
3040,360231443,returned,0,2024-01-01,2024-01-09
3163,339039836,returned,0,2024-01-01,2024-01-06
3424,292904554,returned,0,2024-01-01,2024-01-11
3160,358999365,returned,9,2024-01-01,2024-01-17
3460,211857933,returned,18,2024-01-01,2024-01-09
3409,294150131,returned,0,2024-01-01,2024-01-14
3315,246741789,returned,0,2024-01-01,2024-01-16
3425,273750026,returned,18,2024-01-01,2024-01-08
3416,392543765,returned,24,2024-01-01,2024-02-07
3391,290842350,returned,30,2024-01-01,2024-01-31
3737,210476180,returned,0,2024-01-01,2024-01-05
3287,294469671,returned,18,2024-01-01,2024-01-13
3353,203494364,returned,0,2024-01-01,2024-01-01
3037,238748149,returned,0,2024-01-01,2024-01-04
3532,248037475,returned,0,2024-01-01,2024-01-02
3087,315270454,returned,0,2024-01-01,2024-01-22
3059,202526323,returned,18,2024-01-01,2024-01-23
3565,249049289,returned,24,2024-01-01,2024-01-20
3102,274404185,returned,18,2024-01-01,2024-02-02
3647,379724149,returned,0,2024-01-01,2024-01-07
3612,215281858,returned,12,2024-01-01,2024-01-17
3293,337054647,returned,0,2024-01-01,2024-01-03
3613,232160721,returned,0,2024-01-01,2024-01-09
3254,288431497,returned,0,2024-01-01,2024-01-03
3002,305910812,returned,0,2024-01-01,2024-01-07
3337,377978176,returned,0,2024-01-01,2024-01-07
3642,377978176,returned,0,2024-01-01,2024-01-02
3098,280813932,returned,0,2024-01-01,2024-01-29
3637,280813932,returned,15,2024-01-01,2024-01-24
3447,327934683,returned,18,2024-01-01,2024-01-09
3315,277416632,returned,0,2024-01-01,2024-01-07
3672,355687781,returned,21,2024-01-01,2024-01-26
3701,362352056,returned,0,2024-01-01,2024-01-18
3238,308185644,returned,0,2024-01-01,2024-01-05
3484,242005585,returned,0,2024-01-01,2024-01-14
3494,294282256,returned,0,2024-01-01,2024-01-21
3199,336155080,returned,6,2024-01-01,2024-01-19
3116,372506295,returned,0,2024-01-01,2024-01-10
3516,206187148,returned,18,2024-01-01,2024-01-19
3731,345236251,returned,0,2024-01-01,2024-01-16
3189,298795485,returned,24,2024-01-01,2024-01-24
3669,303573059,returned,15,2024-01-01,2024-01-20
3347,233857432,returned,0,2024-01-01,2024-01-02
3502,219484649,returned,0,2024-01-01,2024-01-04
3599,276462884,returned,3,2024-01-01,2024-01-22
3413,285271946,returned,0,2024-01-01,2024-01-14
3598,272322207,returned,21,2024-01-01,2024-02-07
3306,259827798,returned,3,2024-01-01,2024-01-22
3698,267935385,returned,0,2024-01-02,2024-01-06
3210,360857411,returned,0,2024-01-02,2024-01-12
3217,322458852,returned,18,2024-01-02,2024-01-17
3466,279787097,returned,15,2024-01-02,2024-01-21
3429,279787097,returned,0,2024-01-02,2024-01-08
3083,288987167,returned,0,2024-01-02,2024-01-02
3704,288987167,returned,3,2024-01-02,2024-01-04
